Barcode	IBET-gradual-TR2-PCR2-041119_S28_R1_001	IBET-gradual-TR2-PCR1-151119_S62_R1_001	ARAC-high-dose-TR1-PCR2-041119_S89_R1_001	DMSO-TR1-PCR2-221119_S33_R1_001	ARAC-high-dose-TR1-PCR1-041119_S87_R1_001	IBET-highdose-TR1-PCR1-081119_S41_R1_001	IBET-gradual-TR2-PCR2-011119_S12_R1_001	DMSO-TR1-PCR1-011119_S2_R1_001	IBET-highdose-TR1-PCR2-041119_S31_R1_001	IBET-highdose-TR2-PCR1-01119_S7_R1_001	IBET-highdose-TR1-PCR1-221119_S65_R1_001	IBET-gradual-TR2-PCR1-081119_S38_R1_001	ARAC-gradual-TR2-PCR2-081119_S52_R1_001	DMSO-TR1-PCR1-221119_S23_R1_001	IBET-highdose-TR2-PCR2-01119_S14_R1_001	DMSO-TR1-PCR2-151119_S69_R1_001	DMSO-TR2-PCR1-221119_S24_R1_001	IBET-gradual-TR1-PCR2-081119_S49_R1_001	DMSO-TR2-PCR1-041119_S16_R1_001	ARAC-gradual-TR1-PCR1-081119_S39_R1_001	DMSO-TR2-PCR1-011119_S3_R1_001	ARAC-gradual-TR1-PCR2-151119_S73_R1_001	DMSO-TR1-PCR1-151119_S59_R1_001	DMSO-TR2-PCR2-081119_S48_R1_001	ARAC-gradual-TR2-PCR2-011119_S82_R1_001	DMSO-TR1-PCR2-041119_S25_R1_001	IBET-highdose-TR2-PCR2-04119_S32_R1_001	ARAC-gradual-TR2-PCR1-081119_S40_R1_001	IBET-gradual-TR1-PCR1-151119_S61_R1_001	IBET-gradual-TR2-PCR2-151119_S72_R1_001	ARAC-gradual-TR1-PCR1-221119_S43_R1_001	ARAC-gradual-TR2-PCR1-151119_S64_R1_001	IBET-gradual-TR2-PCR1-221119_S44_R1_001	ARAC-gradual-TR2-PCR1-041119_S20_R1_001	ARAC-gradual-TR1-PCR2-041119_S29_R1_001	ARAC-high-dose-TR2-PCR2-011119_S86_R1_001	ARAC-gradual-TR1-PCR1-011119_S79_R1_001	DMSO-TR2-PCR2-011119_S10_R1_001	ARAC-gradual-TR1-PCR2-221119_S55_R1_001	ARAC-high-dose-TR2-PCR1-011119_S84_R1_001	IBET-highdose-TR1-PCR2-081119_S53_R1_001	DMSO-TR1-PCR1-081119_S35_R1_001	IBET-gradual-TR2-PCR1-011119_S5_R1_001	ARAC-gradual-TR2-PCR2-041119_S30_R1_001	DMSO-TR2-PCR2-151119_S70_R1_001	IBET-highdose-TR2-PCR2-221119_S76_R1_001	IBET-gradual-TR1-PCR2-221119_S57_R1_001	IBET-gradual-TR1-PCR1-041119_S17_R1_001	DMSO-TR2-PCR2-221119_S34_R1_001	DMSO-TR2-PCR1-081119_S36_R1_001	ARAC-gradual-TR2-PCR1-221119_S46_R1_001	DMSO-TR1-PCR1-041119_S15_R1_001	DMSO-TR2-PCR2-041119_S26_R1_001	IBET-gradual-TR1-PCR2-151119_S71_R1_001	IBET-gradual-TR2-PCR1-041119_S18_R1_001	IBET-gradual-TR1-PCR1-081119_S37_R1_001	ARAC-gradual-TR2-PCR2-151119_S74_R1_001	IBET-highdose-TR2-PCR1-08119_S42_R1_001	DMSO-TR1-PCR2-081119_S47_R1_001	IBET-gradual-TR1-PCR2-011119_S11_R1_001	IBET-highdose-TR1-PCR1-041119_S21_R1_001	ARAC-gradual-TR2-PCR1-011119_S80_R1_001	IBET-gradual-TR2-PCR2-221119_S56_R1_001	ARAC-gradual-TR2-PCR2-221119_S58_R1_001	IBET-highdose-TR1-PCR2-221119_S75_R1_001	ARAC-gradual-TR1-PCR2-081119_S51_R1_001	ARAC-high-dose-TR2-PCR1-041119_S88_R1_001	ARAC-high-dose-TR2-PCR2-041119_S90_R1_001	ARAC-gradual-TR1-PCR1-041119_S19_R1_001	ARAC-high-dose-TR1-PCR2-011119_S85_R1_001	ARAC-high-dose-TR1-PCR1-011119_S83_R1_001	TP0-baseline-PCR2_S8_R1_001	IBET-highdose-TR1-PCR2-011119_S13_R1_001	IBET-gradual-TR1-PCR1-011119_S4_R1_001	DMSO-TR1-PCR2-011119_S9_R1_001	IBET-gradual-TR1-PCR2-041119_S27_R1_001	IBET-highdose-TR2-PCR2-08119_S54_R1_001	ARAC-gradual-TR1-PCR1-151119_S63_R1_001	TP0-baseline-PCR1_S1_R1_001	IBET-gradual-TR2-PCR2-081119_S50_R1_001	IBET-highdose-TR2-PCR1-04119_S22_R1_001	ARAC-gradual-TR1-PCR2-011119_S81_R1_001	IBET-gradual-TR1-PCR1-221119_S45_R1_001	IBET-highdose-TR1-PCR1-011119_S6_R1_001	IBET-highdose-TR2-PCR1-221119_S66_R1_001	DMSO-TR2-PCR1-151119_S60_R1_001
BFP_Barcode_1002	0	0	0	0	0	0	28	25	0	10	0	0	9	0	26	0	0	0	11	0	16	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	96	2	0	0	0	0	12	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	158	119	227	4	2	12	0	0	0	157	0	0	10	0	0	0	0
BFP_Barcode_100200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	146	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100216	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100236	0	0	254	0	287	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	5	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
BFP_Barcode_100257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BFP_Barcode_100298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100398	17	0	0	838	0	171	2475	2540	517	1399	0	124	0	959	1548	1643	740	201	1748	0	2113	0	1696	1443	1714	1848	624	0	0	0	0	0	3	4	0	276	327	2074	0	456	265	2250	2545	2	975	4	0	699	683	1195	0	1619	1511	2	23	153	0	180	2209	2421	658	1892	7	1	0	0	6	7	0	188	608	2803	1579	2856	2025	571	103	0	2282	100	706	279	7	1628	4	1122
BFP_Barcode_100468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
BFP_Barcode_100495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100513	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_10054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_10062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100684	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100712	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_10079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFP_Barcode_100826	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
